CustomerID,FirstName,LastName,Email,Age,Gender,Country,City,Segment,RegistrationDate,TenureDays,IsActive,TotalOrders,TotalRevenue,TotalNetRevenue,AvgOrderValue,MaxOrderValue,TotalQuantity,UniqueCategories,FirstPurchaseDate,LastPurchaseDate,DaysSinceLastPurchase,OrderFrequencyPerMonth,CLV,TotalTransactions,TotalTransactionAmount,AvgTransactionAmount,RevenueTier,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,IsChurned,ChurnProbability,ChurnPrediction,ChurnRiskBand,ETLTimestamp,RevenuePerDay,IsHighValue,IsNewCustomer,ExportDate
CUST00015,Linda,Martinez,linda.martinez14@example.com,53,Non-binary,Italy,City_10,Enterprise,2022-02-16 06:55:15,1048,True,4.0,10573.76,10505.67,2643.44,7144.62,55.0,2.0,2022-02-24 14:40:21,2024-01-02 06:17:39,363.0,0.12,11132.95,9.0,6140.23,682.25,VIP,1,3,3,7,At Risk,1,1.0,1,High,2026-05-07 22:22:23.740018,10.09,0,0,2026-05-07
CUST00016,Karen,Young,karen.young15@example.com,57,Female,Netherlands,City_1,Individual,2022-05-26 13:12:42,949,True,4.0,22920.21,22885.82,5730.05,9473.5,84.0,3.0,2024-02-08 16:22:15,2024-08-03 12:24:34,149.0,0.37,76986.59,6.0,8800.6,1466.77,VIP,2,3,5,10,At Risk,1,0.96,1,High,2026-05-07 22:22:23.740018,24.15,1,0,2026-05-07
CUST00017,Logan,Williams,logan.williams16@example.com,41,Male,Sweden,City_27,SMB,2022-12-06 15:24:52,755,True,2.0,3912.16,3891.75,1956.08,3126.18,23.0,2.0,2024-06-07 16:19:37,2024-09-16 00:51:30,105.0,0.3,20795.22,10.0,6553.78,655.38,High,3,1,1,5,Promising,1,0.93,1,High,2026-05-07 22:22:23.740018,5.18,0,0,2026-05-07
CUST00018,Karen,Rodriguez,karen.rodriguez17@example.com,20,Non-binary,Spain,Unknown,SMB,2022-12-28 10:13:36,733,False,4.0,5445.64,5395.87,1361.41,3430.58,55.0,2.0,2024-01-10 04:54:15,2024-04-20 11:33:57,254.0,0.34,16797.11,13.0,15435.66,1187.36,High,2,3,2,7,Need Attention,1,0.94,1,High,2026-05-07 22:22:23.740018,7.43,0,0,2026-05-07
CUST00019,Lucas,Allen,lucas.allen18@example.com,39,Female,Australia,City_15,SMB,2024-02-25 01:00:38,309,False,6.0,15148.08,15069.37,2524.68,4684.55,87.0,5.0,2024-01-13 18:16:31,2024-09-26 22:20:46,94.0,0.52,47122.58,13.0,14518.55,1116.81,VIP,3,5,4,12,Loyal,1,0.84,1,High,2026-05-07 22:22:23.740018,49.02,0,0,2026-05-07
CUST00020,Liam,Perez,liam.perez19@example.com,70,Prefer not to say,Sweden,City_35,SMB,2024-07-24 04:53:06,159,True,4.0,17487.02,17433.25,4371.76,9475.0,70.0,3.0,2024-07-21 04:48:04,2024-09-15 02:34:31,106.0,0.75,118199.3,6.0,5201.61,866.94,VIP,3,3,4,10,Loyal,1,0.94,1,High,2026-05-07 22:22:23.740018,109.98,1,0,2026-05-07
CUST00021,Sophia,Miller,sophia.miller20@example.com,19,Non-binary,Netherlands,City_23,SMB,2022-02-11 05:19:57,1053,True,5.0,25104.65,25034.4,5020.93,11473.1,99.0,5.0,2024-02-01 22:36:23,2024-08-04 14:08:58,148.0,0.46,82799.98,13.0,14670.33,1128.49,VIP,2,4,5,11,At Risk,1,0.84,1,High,2026-05-07 22:22:23.740018,23.84,1,0,2026-05-07
CUST00022,Charles,Lewis,charles.lewis21@example.com,41,Female,Sweden,City_41,Enterprise,2024-05-21 20:43:57,222,True,3.0,10196.42,10158.42,3398.81,7504.05,31.0,3.0,2024-03-17 06:07:26,2024-11-15 13:02:40,45.0,0.32,38767.64,9.0,6543.48,727.05,VIP,4,2,3,9,New Customer,0,0.02,0,Low,2026-05-07 22:22:23.740018,45.93,0,0,2026-05-07
CUST00023,Abigail,Miller,abigail.miller22@example.com,61,Male,Germany,City_45,Individual,2022-11-05 21:12:17,785,True,4.0,13696.15,13644.43,3424.04,6944.05,73.0,3.0,2024-01-21 23:34:25,2024-04-09 05:01:32,265.0,0.36,43723.86,15.0,20946.83,1396.46,VIP,1,3,4,8,At Risk,1,0.98,1,High,2026-05-07 22:22:23.740018,17.45,0,0,2026-05-07
CUST00024,William,King,william.king23@example.com,47,Non-binary,Sweden,City_1,Enterprise,2024-10-06 13:26:52,85,True,3.0,2365.71,2326.94,788.57,1290.79,19.0,2.0,2024-02-10 00:59:16,2024-08-18 07:57:18,134.0,0.28,7995.22,7.0,7148.33,1021.19,High,2,2,1,5,Lost,1,0.93,1,High,2026-05-07 22:22:23.740018,27.83,0,0,2026-05-07
CUST00025,Richard,Robinson,richard.robinson24@example.com,55,Non-binary,Sweden,City_22,Individual,2024-04-26 12:53:27,248,True,4.0,21133.29,21096.19,5283.32,9339.53,66.0,3.0,2024-01-08 00:59:21,2024-11-07 07:03:42,53.0,0.34,64820.6,7.0,7773.94,1110.56,VIP,4,3,5,12,Loyal,0,0.04,0,Low,2026-05-07 22:22:23.740018,85.21,1,0,2026-05-07
CUST00026,Lucas,Smith,lucas.smith25@example.com,19,Female,Netherlands,City_1,SMB,2023-10-14 16:49:57,443,True,4.0,16664.38,16634.23,4166.1,8838.18,54.0,3.0,2024-02-20 12:22:39,2024-07-26 18:17:19,157.0,0.39,58113.04,8.0,5874.8,734.35,VIP,2,3,4,9,At Risk,1,0.95,1,High,2026-05-07 22:22:23.740018,37.62,0,0,2026-05-07
CUST00027,Aiden,Martinez,aiden.martinez26@example.com,38,Female,Germany,City_49,SMB,2022-12-09 10:37:19,752,True,3.0,12649.02,12603.3,4216.34,6677.85,61.0,3.0,2024-05-09 06:30:13,2024-09-11 21:20:40,109.0,0.39,58939.05,9.0,8697.91,966.43,VIP,3,2,3,8,Potential Loyal,1,0.96,1,High,2026-05-07 22:22:23.740018,16.82,0,0,2026-05-07
CUST00028,Elizabeth,Clark,elizabeth.clark27@example.com,50,Prefer not to say,Italy,City_43,Startup,2023-11-29 19:43:37,397,True,5.0,5220.01,5148.5,1044.0,2341.13,48.0,3.0,2024-01-11 05:44:19,2024-04-28 08:47:13,246.0,0.43,16146.64,13.0,18910.38,1454.64,High,2,4,2,8,Need Attention,1,0.97,1,High,2026-05-07 22:22:23.740018,13.15,0,0,2026-05-07
CUST00029,Karen,Martinez,karen.martinez28@example.com,29,Prefer not to say,United Kingdom,City_25,Startup,2024-07-04 09:25:01,179,False,4.0,9866.3,9807.06,2466.57,4056.13,51.0,3.0,2024-08-24 04:22:48,2024-10-15 20:43:06,75.0,0.95,84403.11,16.0,18584.38,1161.52,High,3,3,3,9,Potential Loyal,0,0.0,0,Low,2026-05-07 22:22:23.740018,55.12,0,0,2026-05-07
CUST00030,Sophia,Jones,sophia.jones29@example.com,39,Non-binary,Germany,City_48,Enterprise,2023-03-09 03:42:04,662,True,2.0,12047.0,12028.52,6023.5,7977.54,33.0,2.0,2024-02-12 10:46:14,2024-12-30 11:30:17,0.0,0.19,40967.28,2.0,3783.9,1891.95,VIP,5,1,3,9,New Customer,0,0.07,0,Low,2026-05-07 22:22:23.740018,18.2,0,0,2026-05-07
CUST00031,Abigail,Walker,abigail.walker30@example.com,61,Male,United Kingdom,Unknown,Enterprise,2022-01-11 02:17:28,1084,True,3.0,6008.15,5961.6,2002.72,4025.63,31.0,3.0,2024-04-10 06:57:29,2024-05-18 01:39:53,226.0,0.35,24920.17,14.0,17349.2,1239.23,High,2,2,2,6,Lost,1,0.97,1,High,2026-05-07 22:22:23.740018,5.54,0,0,2026-05-07
CUST00032,James,Taylor,james.taylor31@example.com,46,Prefer not to say,Netherlands,City_20,Individual,2022-09-06 00:31:50,846,True,4.0,5979.99,5926.56,1495.0,3771.42,28.0,4.0,2024-02-05 03:49:43,2024-09-01 09:30:05,120.0,0.37,19903.01,9.0,8631.85,959.09,High,3,3,2,8,Need Attention,1,0.95,1,High,2026-05-07 22:22:23.740018,7.07,0,0,2026-05-07
CUST00033,Karen,Perez,karen.perez32@example.com,66,Male,Germany,City_7,Individual,2023-10-19 12:12:24,438,True,5.0,17848.17,17788.62,3569.63,7426.44,67.0,4.0,2024-01-09 13:23:46,2024-11-08 10:03:01,52.0,0.43,54898.16,15.0,12259.03,817.27,VIP,4,4,4,12,Champion,0,0.02,0,Low,2026-05-07 22:22:23.740018,40.75,1,0,2026-05-07
CUST00034,Charles,Sanchez,charles.sanchez33@example.com,44,Female,France,City_14,Startup,2023-06-13 13:27:31,566,True,3.0,2598.14,2554.08,866.05,2116.58,17.0,3.0,2024-02-27 23:37:21,2024-12-03 11:06:26,27.0,0.3,9297.27,8.0,9104.84,1138.1,High,5,2,1,8,New Customer,0,0.04,0,Low,2026-05-07 22:22:23.740018,4.59,0,0,2026-05-07
CUST00035,Susan,Garcia,susan.garcia34@example.com,59,Female,Spain,City_34,Startup,2023-03-08 15:47:40,663,True,1.0,7189.12,7185.76,7189.12,7189.12,17.0,1.0,2023-04-24 02:35:32,2023-04-24 02:35:32,616.0,0.05,12779.36,1.0,699.86,699.86,High,1,1,2,4,Lost,1,0.99,1,High,2026-05-07 22:22:23.740018,10.84,0,0,2026-05-07
CUST00036,Mia,Perez,mia.perez35@example.com,45,Prefer not to say,Australia,City_16,Individual,2022-08-30 12:41:45,853,True,2.0,14073.89,14049.37,7036.94,9641.93,44.0,1.0,2024-07-25 06:33:34,2024-08-20 08:10:47,132.0,0.39,97537.4,2.0,1321.13,660.56,VIP,2,1,4,7,Need Attention,1,0.96,1,High,2026-05-07 22:22:23.740018,16.5,0,0,2026-05-07
CUST00037,Liam,Harris,liam.harris36@example.com,33,Non-binary,France,City_27,Enterprise,2022-12-01 11:28:43,760,True,4.0,11211.74,11173.54,2802.94,6162.9,64.0,4.0,2024-01-15 07:43:29,2024-09-08 19:25:32,113.0,0.35,35076.73,20.0,22543.17,1127.16,VIP,3,3,3,9,Potential Loyal,1,0.96,1,High,2026-05-07 22:22:23.740018,14.75,0,0,2026-05-07
CUST00038,Amelia,Lee,amelia.lee37@example.com,32,Female,Australia,City_32,Individual,2023-06-07 21:09:15,571,True,2.0,12461.86,12420.2,6230.93,10149.8,37.0,2.0,2022-04-20 09:09:42,2022-05-29 00:16:27,946.0,0.06,13853.54,5.0,3362.79,672.56,VIP,1,1,3,5,Need Attention,1,1.0,1,High,2026-05-07 22:22:23.740018,21.82,0,0,2026-05-07
CUST00039,Mason,Young,mason.young38@example.com,64,Male,France,City_4,Enterprise,2022-06-08 18:40:31,936,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,9999.0,0.0,0.0,0.0,0.0,0.0,No Revenue,1,1,1,3,Lost,1,1.0,1,High,2026-05-07 22:22:23.740018,0.0,0,0,2026-05-07
CUST00040,Mason,Williams,mason.williams39@example.com,68,Non-binary,Netherlands,City_10,Individual,2022-05-25 01:48:56,950,True,5.0,21469.97,21400.69,4293.99,7833.1,82.0,4.0,2024-04-05 14:21:12,2024-12-22 05:52:28,8.0,0.57,87396.35,11.0,10111.31,919.21,VIP,5,4,5,14,Champion,0,0.01,0,Low,2026-05-07 22:22:23.740018,22.6,1,0,2026-05-07
CUST00041,Susan,Jones,susan.jones40@example.com,61,Prefer not to say,Australia,City_46,SMB,2023-08-14 04:42:59,504,False,5.0,16667.73,16611.61,3333.55,7742.37,98.0,3.0,2022-03-28 20:56:58,2024-01-12 22:38:32,352.0,0.15,18124.29,17.0,16644.51,979.09,VIP,1,4,4,9,At Risk,1,1.0,1,High,2026-05-07 22:22:23.740018,33.07,0,0,2026-05-07
CUST00042,Logan,Thomas,logan.thomas41@example.com,72,Female,Belgium,City_18,SMB,2022-05-31 05:50:52,944,True,3.0,5987.47,5951.61,1995.82,3347.56,68.0,3.0,2024-06-27 17:41:02,2024-11-22 16:22:50,38.0,0.49,35248.82,5.0,4638.54,927.71,High,4,2,2,8,New Customer,0,0.02,0,Low,2026-05-07 22:22:23.740018,6.34,0,0,2026-05-07
CUST00043,Ethan,Jackson,ethan.jackson42@example.com,69,Prefer not to say,Sweden,City_6,Enterprise,2023-07-12 15:43:16,537,True,3.0,9363.05,9328.53,3121.02,7232.04,64.0,2.0,2024-04-22 21:32:54,2024-08-04 21:28:32,147.0,0.36,40846.77,11.0,8505.64,773.24,High,2,2,3,7,Need Attention,1,0.97,1,High,2026-05-07 22:22:23.740018,17.44,0,0,2026-05-07
CUST00044,David,Anderson,david.anderson43@example.com,74,Non-binary,Spain,City_3,Enterprise,2023-06-19 07:35:55,560,True,3.0,5381.01,5329.06,1793.67,2716.61,57.0,3.0,2024-02-16 07:11:27,2024-07-22 10:19:52,161.0,0.29,18528.95,13.0,15636.17,1202.78,High,2,2,2,6,Lost,1,0.97,1,High,2026-05-07 22:22:23.740018,9.61,0,0,2026-05-07
CUST00045,Jennifer,Garcia,jennifer.garcia44@example.com,20,Non-binary,Belgium,City_15,Enterprise,2024-07-26 20:32:16,156,True,8.0,29754.14,29636.02,3719.27,8718.91,149.0,5.0,2024-01-20 01:00:19,2024-11-28 14:36:25,32.0,0.71,94437.05,26.0,19044.26,732.47,VIP,5,5,5,15,Champion,0,0.0,0,Low,2026-05-07 22:22:23.740018,190.73,1,0,2026-05-07
CUST00046,Charles,Ramirez,charles.ramirez45@example.com,54,Non-binary,France,City_34,Startup,2023-02-15 22:03:09,683,True,5.0,7262.12,7231.27,1452.42,2376.15,54.0,4.0,2024-01-03 13:41:32,2024-06-20 14:26:11,193.0,0.42,21966.91,14.0,9355.28,668.23,High,2,4,2,8,Need Attention,1,0.96,1,High,2026-05-07 22:22:23.740018,10.63,0,0,2026-05-07
CUST00047,Logan,Miller,logan.miller46@example.com,68,Male,France,City_27,Startup,2022-03-09 11:56:59,1027,True,6.0,21825.28,21744.04,3637.55,9217.71,120.0,5.0,2024-02-14 08:05:39,2024-12-29 15:09:26,1.0,0.57,74683.38,16.0,14171.86,885.74,VIP,5,5,5,15,Champion,0,0.02,0,Low,2026-05-07 22:22:23.740018,21.25,1,0,2026-05-07
CUST00048,Olivia,Miller,olivia.miller47@example.com,24,Non-binary,Belgium,City_45,Individual,2023-12-15 16:36:03,381,True,5.0,18692.72,18636.06,3738.54,8461.88,67.0,3.0,2022-03-04 19:38:28,2023-12-29 10:35:28,367.0,0.15,19833.85,17.0,17920.99,1054.18,VIP,1,4,5,10,At Risk,1,1.0,1,High,2026-05-07 22:22:23.740018,49.06,1,0,2026-05-07
CUST00049,Jennifer,Lewis,jennifer.lewis48@example.com,38,Non-binary,Belgium,City_24,Startup,2024-04-13 00:01:56,261,True,3.0,12116.38,12074.8,4038.79,5391.98,47.0,2.0,2024-01-15 15:43:40,2024-08-28 08:45:40,124.0,0.26,37906.96,10.0,7912.98,791.3,VIP,3,2,3,8,Potential Loyal,1,0.97,1,High,2026-05-07 22:22:23.740018,46.42,0,0,2026-05-07
CUST00050,Jessica,Hernandez,jessica.hernandez49@example.com,26,Female,United Kingdom,City_30,Individual,2022-07-13 21:51:23,900,True,7.0,36057.18,35989.05,5151.03,7975.79,161.0,4.0,2024-02-09 07:29:11,2024-12-22 09:41:49,8.0,0.66,121484.96,23.0,20061.33,872.23,VIP,5,5,5,15,Champion,0,0.04,0,Low,2026-05-07 22:22:23.740018,40.06,1,0,2026-05-07
CUST00051,Karen,Martin,karen.martin50@example.com,56,Male,United States,City_48,Individual,2023-08-12 00:47:04,506,True,7.0,16569.46,16460.09,2367.07,5154.22,121.0,5.0,2024-01-13 08:33:26,2024-12-24 22:28:03,5.0,0.61,51544.2,17.0,17262.58,1015.45,VIP,5,5,4,14,Champion,0,0.04,0,Low,2026-05-07 22:22:23.740018,32.75,0,0,2026-05-07
CUST00052,Joseph,Johnson,joseph.johnson51@example.com,35,Male,Spain,City_6,Individual,2022-05-03 09:53:03,972,True,1.0,8532.17,8523.72,8532.17,8532.17,20.0,1.0,2024-11-04 03:47:33,2024-11-04 03:47:33,56.0,0.54,166834.4,3.0,2311.13,770.38,High,4,1,2,7,New Customer,0,0.02,0,Low,2026-05-07 22:22:23.740018,8.78,0,0,2026-05-07
CUST00053,Richard,Williams,richard.williams52@example.com,21,Prefer not to say,Sweden,City_38,Enterprise,2024-05-07 13:33:59,237,True,3.0,3740.04,3696.01,1246.68,1702.5,35.0,3.0,2024-03-21 05:26:26,2024-06-06 13:16:02,207.0,0.32,14420.22,4.0,5197.47,1299.37,High,2,2,1,5,Lost,1,0.96,1,High,2026-05-07 22:22:23.740018,15.78,0,0,2026-05-07
CUST00054,Barbara,Lee,barbara.lee53@example.com,46,Non-binary,United States,City_7,SMB,2023-04-01 10:28:42,639,True,3.0,4773.37,4732.72,1591.12,3521.03,44.0,3.0,2024-03-05 20:59:03,2024-09-23 05:19:08,98.0,0.31,17481.07,4.0,6063.57,1515.89,High,3,2,1,6,Promising,1,0.94,1,High,2026-05-07 22:22:23.740018,7.47,0,0,2026-05-07
CUST00055,Mary,Brown,mary.brown54@example.com,31,Female,Belgium,City_33,Startup,2024-09-03 13:23:25,118,True,2.0,6349.9,6322.96,3174.95,3977.14,38.0,1.0,2022-06-27 08:55:37,2022-09-30 02:13:26,822.0,0.07,7582.49,7.0,5491.68,784.53,High,1,1,2,4,Lost,1,1.0,1,High,2026-05-07 22:22:23.740018,53.81,0,0,2026-05-07
CUST00056,John,Jackson,john.jackson55@example.com,67,Prefer not to say,Belgium,City_9,Individual,2024-08-18 20:05:15,133,False,5.0,18392.76,18326.73,3678.55,7268.83,86.0,4.0,2024-02-17 10:53:38,2024-07-17 07:37:03,166.0,0.48,63533.35,17.0,15645.58,920.33,VIP,2,4,5,11,At Risk,1,0.97,1,High,2026-05-07 22:22:23.740018,138.29,1,0,2026-05-07
CUST00057,Jessica,Thompson,jessica.thompson56@example.com,26,Non-binary,United Kingdom,City_41,SMB,2023-07-16 18:43:51,533,True,3.0,16860.18,16822.34,5620.06,8091.85,62.0,3.0,2024-03-02 07:00:42,2024-11-30 11:24:42,30.0,0.3,60930.35,6.0,5226.01,871.0,VIP,5,2,4,11,New Customer,0,0.03,0,Low,2026-05-07 22:22:23.740018,31.63,0,0,2026-05-07
CUST00058,Ethan,White,ethan.white57@example.com,43,Male,Spain,City_26,Individual,2024-06-15 21:14:53,197,True,4.0,6016.77,5968.7,1504.19,5389.98,41.0,3.0,2024-05-25 07:56:34,2024-10-14 05:24:01,77.0,0.56,30083.85,19.0,22958.28,1208.33,High,3,3,2,8,Need Attention,0,0.01,0,Low,2026-05-07 22:22:23.740018,30.54,0,0,2026-05-07
CUST00059,Robert,Ramirez,robert.ramirez58@example.com,70,Non-binary,Spain,City_5,Enterprise,2022-10-26 17:02:17,796,True,4.0,11626.88,11590.19,2906.72,8042.53,34.0,2.0,2024-08-17 23:21:37,2024-10-14 14:06:39,77.0,0.91,95010.7,6.0,8798.98,1466.5,VIP,3,3,3,9,Potential Loyal,0,0.03,0,Low,2026-05-07 22:22:23.740018,14.61,0,0,2026-05-07
CUST00060,Amelia,Martinez,amelia.martinez59@example.com,19,Non-binary,Italy,City_38,Individual,2022-04-19 01:12:14,986,True,6.0,20478.3,20389.75,3413.05,7322.31,82.0,5.0,2022-03-23 14:12:24,2024-02-08 19:36:40,326.0,0.18,22135.97,10.0,9512.8,951.28,VIP,1,5,5,11,At Risk,1,1.0,1,High,2026-05-07 22:22:23.740018,20.77,1,0,2026-05-07
CUST00061,Lucas,Thomas,lucas.thomas60@example.com,37,Female,Germany,City_37,Startup,2022-03-13 04:27:24,1023,True,6.0,29620.0,29554.92,4936.67,10145.56,123.0,4.0,2024-01-06 11:33:37,2024-12-14 23:01:03,15.0,0.51,90345.13,10.0,12482.94,1248.29,VIP,5,5,5,15,Champion,0,0.01,0,Low,2026-05-07 22:22:23.740018,28.95,1,0,2026-05-07
CUST00062,Richard,King,richard.king61@example.com,45,Female,United States,City_4,SMB,2024-10-24 05:41:00,67,True,3.0,10258.46,10216.77,3419.49,6626.16,48.0,3.0,2022-12-19 04:38:50,2023-09-07 20:48:10,479.0,0.12,15138.83,7.0,6929.64,989.95,VIP,1,2,3,6,Need Attention,1,1.0,1,High,2026-05-07 22:22:23.740018,153.11,0,0,2026-05-07
CUST00063,Aiden,Clark,aiden.clark62@example.com,64,Female,Germany,City_28,Enterprise,2022-12-21 00:39:48,740,False,7.0,23478.71,23376.28,3354.1,10640.06,107.0,6.0,2024-04-08 09:02:45,2024-11-25 13:28:46,35.0,0.8,96651.08,25.0,23692.92,947.72,VIP,4,5,5,14,Champion,0,0.0,0,Low,2026-05-07 22:22:23.740018,31.73,1,0,2026-05-07
CUST00064,Harper,Lopez,harper.lopez63@example.com,24,Prefer not to say,Australia,City_43,Individual,2023-03-26 13:09:54,645,True,3.0,11408.31,11366.25,3802.77,5013.91,44.0,3.0,2024-05-15 18:32:53,2024-12-23 07:56:08,7.0,0.4,54550.65,7.0,7385.11,1055.02,VIP,5,2,3,10,New Customer,0,0.03,0,Low,2026-05-07 22:22:23.740018,17.69,0,0,2026-05-07
CUST00065,Sophia,Hernandez,sophia.hernandez64@example.com,46,Female,France,City_9,Startup,2022-05-04 22:51:37,970,True,2.0,4511.45,4487.22,2255.73,4343.27,14.0,2.0,2024-07-08 11:01:30,2024-10-04 18:06:33,87.0,0.35,28228.79,4.0,2824.18,706.04,High,3,1,1,5,Promising,0,0.07,0,Low,2026-05-07 22:22:23.740018,4.65,0,0,2026-05-07
